PGSC0003DMP400025336 PGSC0003DMT400037291 Protein,RecName: Full=Reactive Intermediate Deaminase A; chloroplastic; AltName: Full=2-iminobutanoate/2-iminopropanoate deaminase; Flags: Precursor [Arabidopsis thaliana],Q94JQ4,Plastid  chloroplast, Hydrolyzes the Ser-derived enamine/imine product of Thr dehydratase  protecting the plastidial branched-chain aminotransferase BCAT3 (AC Q9M401) from inactivation. Involved in Ile biosynthesis, Amino-acid biosynthesis,15402000,14869000,8897400,,,
PGSC0003DMP400008694 PGSC0003DMT400012522 Protein,RecName: Full=Threonine synthase; chloroplastic; Short=TS; Flags: Precursor [Solanum tuberosum],Q9MT28,Plastid  chloroplast, Catalyzes the gamma-elimination of phosphate from L-phosphohomoserine and the beta-addition of water to produce L-threonine, Amino-acid biosynthesis,7260700,10633000,7298300,,,
PGSC0003DMP400041767 PGSC0003DMT400062070 Protein,RecName: Full=3-isopropylmalate dehydratase small subunit 1; AltName: Full=AtLEUD3; AltName: Full=Isopropylmalate isomerase small subunit 1; Short=IPMI SSU1; Flags: Precursor [Arabidopsis thaliana],Q9ZW85,Plastid  chloroplast stroma, Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate  via the formation of 2-isopropylmaleate (PubMed:19597944). Plays an essential role in leucine biosynthesis (PubMed:19597944  PubMed:20663849  PubMed:24608865  PubMed:32612621). Functions in both the biosynthesis of leucine  and in the methionine chain elongation pathway of aliphatic glucosinolate formation (PubMed:24608865). Plays an essential role in female gametophyte development (PubMed:19597944  PubMed:20663849  PubMed:24608865), Amino-acid biosynthesis,5246500,2695000,6429300,,,
PGSC0003DMP400039525 PGSC0003DMT400058680 Protein,RecName: Full=Aspartate-semialdehyde dehydrogenase; Short=ASA dehydrogenase; Short=ASADH; AltName: Full=Aspartate-beta-semialdehyde dehydrogenase [Synechocystis sp. PCC 6803 substr. Kazusa],Q55512,Subcellular location information not found., Catalyzes the NADPH-dependent formation of L-aspartate-semialdehyde (L-ASA) by the reductive dephosphorylation of L-aspartyl-4-phosphate, Amino-acid biosynthesis,5905000,6383200,6047400,,,
PGSC0003DMP400033291 PGSC0003DMT400049308 Protein,RecName: Full=Dihydroxy-acid dehydratase; chloroplastic; Short=AthDHAD; Short=DAD; Flags: Precursor [Arabidopsis thaliana],Q9LIR4,Plastid  chloroplast, Functions in the biosynthesis of branched-chain amino acids. Catalyzes the dehydration of (2R 3R)-2 3-dihydroxy-3-methylpentanoate (2 3-dihydroxy-3-methylvalerate) into 2-oxo-3-methylpentanoate (2-oxo-3-methylvalerate) and of (2R)-2 3-dihydroxy-3-methylbutanoate (2 3-dihydroxyisovalerate) into 2-oxo-3-methylbutanoate (2-oxoisovalerate)  the penultimate precursor to L-isoleucine and L-valine  respectively, Amino-acid biosynthesis,2976500,2919600,3501200,,,
PGSC0003DMP400055475 PGSC0003DMT400082113 Protein,RecName: Full=Cysteine synthase; AltName: Full=CSase A; Short=CS-A; AltName: Full=O-acetylserine (thiol)-lyase; Short=OAS-TL A; AltName: Full=O-acetylserine sulfhydrylase [Solanum tuberosum],O81154,Cytoplasm, Function information not found., Amino-acid biosynthesis,2297000,1532900,3446300,,,
PGSC0003DMP400044861 PGSC0003DMT400066543 Protein,RecName: Full=Methylthioribose kinase; Short=AtMTK; Short=MTR kinase [Arabidopsis thaliana],Q9C6D2,Subcellular location information not found., Catalyzes the phosphorylation of methylthioribose into methylthioribose-1-phosphate in the methionine cycle. Contributes to the maintenance of AdoMet homeostasis and is required to sustain high rates of ethylene synthesis, Amino-acid biosynthesis,1464500,1331600,3197700,,,
PGSC0003DMP400006395 PGSC0003DMT400009226 Protein,RecName: Full=3-dehydroquinate synthase; chloroplastic; Flags: Precursor [Solanum lycopersicum],Q8RU74,Plastid  chloroplast, Catalyzes the second step in the shikimate pathway, Amino-acid biosynthesis,990620,3007900,2685800,,,
PGSC0003DMP400049426 PGSC0003DMT400073047 Protein,RecName: Full=Histidinol dehydrogenase; chloroplastic; Short=HDH; AltName: Full=Protein HISTIDINE BIOSYNTHESIS 8; Flags: Precursor [Arabidopsis thaliana],Q9C5U8,Plastid  chloroplast, Catalyzes the sequential NAD-dependent oxidations of L-histidinol to L-histidinaldehyde and then to L-histidine, Amino-acid biosynthesis,3921100,4907800,2021800,,,
PGSC0003DMP400013848 PGSC0003DMT400020325 Protein,RecName: Full=Ketol-acid reductoisomerase; chloroplastic; AltName: Full=Acetohydroxy-acid reductoisomerase; AltName: Full=Alpha-keto-beta-hydroxylacyl reductoisomerase; Flags: Precursor [Arabidopsis thaliana],Q05758,Plastid  chloroplast, Function information not found., Amino-acid biosynthesis,0,2979700,1844200,,,
PGSC0003DMP400043458 PGSC0003DMT400064454 Protein,RecName: Full=Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1 1; Includes: RecName: Full=Methylthioribulose-1-phosphate dehydratase; Short=MTRu-1-P dehydratase; Includes: RecName: Full=Enolase-phosphatase E1; AltName: Full=2;3-diketo-5-methylthio-1-phosphopentane phosphatase [Vitis vinifera],E0CSI1,Subcellular location information not found., Function information not found., Amino-acid biosynthesis,0,1884800,1564700,,,
PGSC0003DMP400027098 PGSC0003DMT400039977 Protein,RecName: Full=Ornithine transcarbamylase; chloroplastic; Short=OTCase; AltName: Full=Ornithine carbamoyltransferase; chloroplastic; Flags: Precursor [Arabidopsis thaliana],O50039,Plastid  chloroplast, Function information not found., Amino-acid biosynthesis,1754500,286730,1366400,,,
PGSC0003DMP400039427 PGSC0003DMT400058543 Protein,RecName: Full=Acetylornithine aminotransferase; mitochondrial; Short=ACOAT; AltName: Full=Acetylornithine transaminase; Short=AOTA; Flags: Precursor [Alnus glutinosa],O04866,Mitochondrion, Involved in the biosynthesis of citrulline, Amino-acid biosynthesis,421130,1063500,1356500,,,
PGSC0003DMP400053664 PGSC0003DMT400079161 Protein,RecName: Full=Phospho-2-dehydro-3-deoxyheptonate aldolase 1; chloroplastic; AltName: Full=3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1; AltName: Full=DAHP synthase 1; AltName: Full=Phospho-2-keto-3-deoxyheptonate aldolase 1; Flags: Precursor [Solanum tuberosum],P21357,Plastid  chloroplast, Function information not found., Amino-acid biosynthesis,526730,304040,912530,,,
PGSC0003DMP400038453 PGSC0003DMT400057174 Protein,RecName: Full=Imidazole glycerol phosphate synthase hisHF; chloroplastic; Short=IGP synthase; Short=IGPS; Short=ImGP synthase; AltName: Full=Protein HISTIDINE BIOSYNTHESIS 4; Includes: RecName: Full=Glutaminase; Includes: RecName: Full=Cyclase; Flags: Precursor [Arabidopsis thaliana],Q9SZ30,Plastid  chloroplast, IGPS catalyzes the conversion of PRFAR and glutamine to IGP  AICAR and glutamate. The glutaminase domain produces the ammonia necessary for the cyclase domain to produce IGP and AICAR from PRFAR. The ammonia is channeled to the active site of the cyclase domain, Amino-acid biosynthesis,724900,304240,857410,,,
PGSC0003DMP400028559 PGSC0003DMT400042133 Protein,RecName: Full=2-isopropylmalate synthase B; AltName: Full=Alpha-IPM synthase B; AltName: Full=Alpha-isopropylmalate synthase B [Solanum pennellii],O04974,Subcellular location information not found., Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate), Amino-acid biosynthesis,2263200,667550,771030,,,
PGSC0003DMP400015541 PGSC0003DMT400022817 Protein,RecName: Full=Arginine biosynthesis bifunctional protein ArgJ; chloroplastic; Includes: RecName: Full=Glutamate N-acetyltransferase; Short=GAT; AltName: Full=Ornithine acetyltransferase; Short=OATase; AltName: Full=Ornithine transacetylase; Includes: RecName: Full=Amino-acid acetyltransferase; AltName: Full=N-acetylglutamate synthase; Short=AGS; Contains: RecName: Full=Arginine biosynthesis bifunctional protein ArgJ alpha chain; Contains: RecName: Full=Arginine biosynthesis bifunctional protein ArgJ beta chain; Flags: Precursor [Ricinus communis],B9SZB6,Plastid  chloroplast, Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis: the synthesis of acetylglutamate from glutamate and acetyl-CoA  and of ornithine by transacetylation between acetylornithine and glutamate, Amino-acid biosynthesis,486200,1072500,718980,,,
PGSC0003DMP400002753 PGSC0003DMT400003869 Protein,RecName: Full=Phosphoserine aminotransferase 1; chloroplastic; Short=AtPSAT1; AltName: Full=Phosphohydroxythreonine aminotransferase; Flags: Precursor [Arabidopsis thaliana],Q96255,Plastid  chloroplast, Involved in the plastidial phosphorylated pathway of serine biosynthesis (PPSB). Catalyzes the reversible conversion of 3-phosphohydroxypyruvate to phosphoserine, Amino-acid biosynthesis,133200,345780,480290,,,
PGSC0003DMP400016146 PGSC0003DMT400023675 Protein,RecName: Full=D-3-phosphoglycerate dehydrogenase 2; chloroplastic; Short=PGDH; Flags: Precursor [Arabidopsis thaliana],O04130,Plastid  chloroplast, Involved in the plastidial phosphorylated pathway of serine biosynthesis (PPSB), Amino-acid biosynthesis,0,117050,436110,,,
PGSC0003DMP400045554 PGSC0003DMT400067503 Protein,RecName: Full=3-isopropylmalate dehydrogenase; chloroplastic; Short=3-IPM-DH; Short=IMDH; AltName: Full=Beta-IPM dehydrogenase; Flags: Precursor [Solanum tuberosum],P29696,Plastid  chloroplast, Catalyzes the oxidation of 3-carboxy-2-hydroxy-4-methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2-oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate, Amino-acid biosynthesis,1344600,0,401630,,,
PGSC0003DMP400016503 PGSC0003DMT400024170 Protein,RecName: Full=Argininosuccinate lyase; chloroplastic; AltName: Full=Arginosuccinase; Flags: Precursor [Arabidopsis thaliana],Q9LEU8,Plastid  chloroplast, Function information not found., Amino-acid biosynthesis,270350,92494,361510,,,
PGSC0003DMP400053238 PGSC0003DMT400078553 Protein,RecName: Full=3-isopropylmalate dehydrogenase; chloroplastic; Short=3-IPM-DH; Short=IMDH; AltName: Full=Beta-IPM dehydrogenase; Flags: Precursor [Brassica napus],P29102,Plastid  chloroplast, Catalyzes the oxidation of 3-carboxy-2-hydroxy-4-methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2-oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate, Amino-acid biosynthesis,1126400,352760,350010,,,
PGSC0003DMP400040123 PGSC0003DMT400059624 Protein,RecName: Full=Cysteine synthase; chloroplastic/chromoplastic; AltName: Full=CSase B; Short=CS-B; AltName: Full=O-acetylserine (thiol)-lyase; AltName: Full=O-acetylserine sulfhydrylase; AltName: Full=OAS-TL B; Flags: Precursor [Solanum tuberosum],O81155,Plastid  chloroplast stroma, Function information not found., Amino-acid biosynthesis,0,0,347860,,,
PGSC0003DMP400001433 PGSC0003DMT400001939 Protein,RecName: Full=Diaminopimelate decarboxylase 1; chloroplastic; Short=DAP decarboxylase 1; Short=DAPDC 1; Flags: Precursor [Arabidopsis thaliana],Q949X7,Plastid  chloroplast, Specifically catalyzes the decarboxylation of meso-diaminopimelate (meso-DAP) to L-lysine, Amino-acid biosynthesis,280400,5066200,337350,,,
PGSC0003DMP400001967 PGSC0003DMT400002722 Protein,RecName: Full=Tryptophan synthase beta chain 2; chloroplastic; Flags: Precursor [Camptotheca acuminata],O50046,Plastid  chloroplast, The beta subunit is responsible for the synthesis of L-tryptophan from indole and L-serine, Amino-acid biosynthesis,204660,657830,300420,,,
PGSC0003DMP400051168 PGSC0003DMT400075554 Protein,RecName: Full=Tryptophan synthase beta chain 2 [Aquifex aeolicus VF5],O67409,Subcellular location information not found., The beta subunit is responsible for the synthesis of L-tryptophan from indole and L-serine, Amino-acid biosynthesis,1589700,2570100,300010,,,
PGSC0003DMP400015309 PGSC0003DMT400022467 Protein,RecName: Full=5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase; AltName: Full=Cobalamin-independent methionine synthase isozyme; AltName: Full=Vitamin-B12-independent methionine synthase isozyme [Catharanthus roseus],Q42699,Cytoplasm, Catalyzes the transfer of a methyl group from 5-methyltetrahydrofolate to homocysteine resulting in methionine formation, Amino-acid biosynthesis,489270,156170,207470,,,
PGSC0003DMP400046501 PGSC0003DMT400068827 Protein,RecName: Full=Delta-1-pyrroline-5-carboxylate synthase; Short=P5CS; Includes: RecName: Full=Glutamate 5-kinase; Short=GK; AltName: Full=Gamma-glutamyl kinase; Includes: RecName: Full=Gamma-glutamyl phosphate reductase; Short=GPR; AltName: Full=Glutamate-5-semialdehyde dehydrogenase; AltName: Full=Glutamyl-gamma-semialdehyde dehydrogenase [Solanum lycopersicum],Q96480,Subcellular location information not found., P5CS plays a key role in proline biosynthesis  leading to osmoregulation in plants, Amino-acid biosynthesis,105000,0,189210,,,
PGSC0003DMP400042200 PGSC0003DMT400062680 Protein,RecName: Full=Chorismate synthase 1; chloroplastic; AltName: Full=5-enolpyruvylshikimate-3-phosphate phospholyase 1; Flags: Precursor [Solanum lycopersicum],Q42884,Plastid  chloroplast, Catalyzes the last common step of the biosynthesis of aromatic amino acids  produced via the shikimic acid pathway, Amino-acid biosynthesis,2302500,149140,185580,,,
PGSC0003DMP400017124 PGSC0003DMT400025104 Protein,RecName: Full=Ferredoxin-dependent glutamate synthase 1; chloroplastic/mitochondrial; AltName: Full=Fd-GOGAT 1; Flags: Precursor [Arabidopsis thaliana],Q9ZNZ7,Plastid  chloroplast stroma, Involved in glutamate biosynthesis in leaf. Required for the reassimilation of ammonium ions generated during photorespiration, Amino-acid biosynthesis,48447,157780,159830,,,
PGSC0003DMP400044945 PGSC0003DMT400066654 Protein,RecName: Full=Probable N-acetyl-gamma-glutamyl-phosphate reductase; chloroplastic; Short=AGPR; AltName: Full=N-acetyl-glutamate semialdehyde dehydrogenase; Short=NAGSA dehydrogenase; Flags: Precursor [Arabidopsis thaliana],Q93Z70,Plastid  chloroplast, Function information not found., Amino-acid biosynthesis,93424,651830,156190,,,
PGSC0003DMP400011528 PGSC0003DMT400016646 Protein,RecName: Full=Bifunctional L-3-cyanoalanine synthase/cysteine synthase 1; mitochondrial; Flags: Precursor [Solanum tuberosum],Q76MX2,Mitochondrion, The cyanoalanine synthesis reaction is more efficient than the cysteine synthase activity. Probably involved in detoxification of toxic cyanide produced in plant tissues, Amino-acid biosynthesis,50977,381590,130310,,,
PGSC0003DMP400013289 PGSC0003DMT400019411 Protein,RecName: Full=Carbamoyl phosphate synthase arginine-specific large chain; chloroplastic; Short=CPS; Short=CPSase; AltName: Full=Ammonium-dependent carbamoyl phosphate synthetase; AltName: Full=Arginine-specific carbamoyl phosphate synthetase; ammonia chain; AltName: Full=Glutamine-dependent carbamoyl phosphate synthetase; AltName: Full=Protein VENOSA 3; Flags: Precursor [Arabidopsis thaliana],Q42601,Plastid  chloroplast, Large subunit of the arginine-specific carbamoyl phosphate synthase (CPSase). CPSase catalyzes the formation of carbamoyl phosphate from the ammonia moiety of glutamine  hydrogencarbonate  and phosphate donated by ATP  constituting the first step of 2 biosynthetic pathways  one leading to arginine and/or urea and the other to pyrimidine nucleotides. The large subunit (synthetase) binds the substrates ammonia (free or transferred from glutamine from the small subunit)  hydrogencarbonate and ATP and carries out an ATP-coupled ligase reaction  activating hydrogencarbonate by forming carboxy phosphate which reacts with ammonia to form carbamoyl phosphate. Required for mesophyll development, Amino-acid biosynthesis,102130,229520,108770,,,
PGSC0003DMP400055728 PGSC0003DMT400082806 Protein,RecName: Full=ADP;ATP carrier protein 3; mitochondrial; AltName: Full=ADP/ATP translocase 3; AltName: Full=Adenine nucleotide translocator 3; Short=ANT 3; Flags: Precursor [Arabidopsis thaliana],O49447,Mitochondrion inner membrane, ADP:ATP antiporter that mediates import of ADP into the mitochondrial matrix for ATP synthesis  and export of ATP out to fuel the cell (By similarity). Cycles between the cytoplasmic-open state (c-state) and the matrix-open state (m-state): operates by the alternating access mechanism with a single substrate-binding site intermittently exposed to either the cytosolic (c-state) or matrix (m-state) side of the inner mitochondrial membrane (By similarity), Antiport,50202000,62651000,73997000,,,
PGSC0003DMP400005538 PGSC0003DMT400007970 Protein,RecName: Full=Programmed cell death protein 5; AltName: Full=TF-1 cell apoptosis-related protein 19; Short=Protein TFAR19 [Homo sapiens] >sp|Q5RBT0.3| RecName: Full=Programmed cell death protein 5 [Pongo abelii],O14737,Subcellular location information not found., May function in the process of apoptosis, Apoptosis,5414900,6103900,4197100,,,
PGSC0003DMP400027866 PGSC0003DMT400041092 Protein,RecName: Full=Transmembrane protein 214 [Bos taurus],A4FV45,Endoplasmic reticulum membrane, Critical mediator  in cooperation with CASP4  of endoplasmic reticulum-stress induced apoptosis. Required or the activation of CASP4 following endoplasmic reticulum stress (By similarity), Apoptosis,2036500,2661200,3435300,,,
PGSC0003DMP400010820 PGSC0003DMT400015622 Protein,RecName: Full=GDP-mannose 3;5-epimerase 1; Short=GDP-Man 3;5-epimerase 1; AltName: Full=OsGME-1 [Oryza sativa Japonica Group],A3C4S4,Subcellular location information not found., Catalyzes a reversible epimerization of GDP-D-mannose that precedes the committed step in the biosynthesis of vitamin C (L-ascorbate)  resulting in the hydrolysis of the highly energetic glycosyl-pyrophosphoryl linkage. Able to catalyze 2 distinct epimerization reactions and can release both GDP-L-galactose and GDP-L-gulose from GDP-mannose, Ascorbate biosynthesis,5805300,7994100,7580600,,,
PGSC0003DMP400033822 PGSC0003DMT400050093 Protein,RecName: Full=GDP-mannose 3;5-epimerase 1; Short=GDP-Man 3;5-epimerase 1; AltName: Full=OsGME-1 [Oryza sativa Japonica Group],A3C4S4,Subcellular location information not found., Catalyzes a reversible epimerization of GDP-D-mannose that precedes the committed step in the biosynthesis of vitamin C (L-ascorbate)  resulting in the hydrolysis of the highly energetic glycosyl-pyrophosphoryl linkage. Able to catalyze 2 distinct epimerization reactions and can release both GDP-L-galactose and GDP-L-gulose from GDP-mannose, Ascorbate biosynthesis,1532100,1196400,1493000,,,
PGSC0003DMP400053197 PGSC0003DMT400078507 Protein,RecName: Full=ATP synthase subunit beta; mitochondrial; Flags: Precursor [Nicotiana plumbaginifolia],P17614,Mitochondrion, Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains  F(1) - containing the extramembraneous catalytic core  and F(0) - containing the membrane proton channel  linked together by a central stalk and a peripheral stalk. During catalysis  ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits, ATP synthesis,10271000,12620000,11001000,,,
PGSC0003DMP400012170 PGSC0003DMT400017710 Protein,RecName: Full=ATP synthase subunit O; mitochondrial; AltName: Full=Oligomycin sensitivity conferral protein; Short=OSCP; Flags: Precursor [Ipomoea batatas],P22778,Mitochondrion, Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains  F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel  linked together by a central stalk and a peripheral stalk. During catalysis  ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain and the peripheric stalk  which acts as a stator to hold the catalytic alpha(3)beta(3) subcomplex and subunit a/ATP6 static relative to the rotary elements, ATP synthesis,8636000,7116600,9471200,,,
PGSC0003DMP400042647 PGSC0003DMT400063336 Protein,RecName: Full=ATP synthase subunit gamma; mitochondrial; AltName: Full=F-ATPase gamma subunit; Flags: Precursor [Ipomoea batatas],P26360,Mitochondrion, Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains  F(1) - containing the extramembraneous catalytic core  and F(0) - containing the membrane proton channel  linked together by a central stalk and a peripheral stalk. During catalysis  ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and the central stalk which is part of the complex rotary element. The gamma subunit protrudes into the catalytic domain formed of alpha(3)beta(3). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits, ATP synthesis,4347000,5991900,7606200,,,
PGSC0003DMP400020652 PGSC0003DMT400030416 Protein,RecName: Full=ATP synthase subunit delta'; mitochondrial; AltName: Full=F-ATPase delta' subunit; Flags: Precursor [Ipomoea batatas],Q40089,Mitochondrion, Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains  F(1) - containing the extramembraneous catalytic core  and F(0) - containing the membrane proton channel  linked together by a central stalk and a peripheral stalk. During catalysis  ATP turnover in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and of the central stalk which is part of the complex rotary element. Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits, ATP synthesis,5958200,5713700,7019600,,,
PGSC0003DMP400038511 PGSC0003DMT400057252 Protein,RecName: Full=ATP synthase subunit alpha; mitochondrial [Nicotiana plumbaginifolia],P05495,Mitochondrion, Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains  F(1) - containing the extramembraneous catalytic core  and F(0) - containing the membrane proton channel  linked together by a central stalk and a peripheral stalk. During catalysis  ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits. Subunit alpha does not bear the catalytic high-affinity ATP-binding sites (By similarity), ATP synthesis,4573600,14585000,4550500,,,
PGSC0003DMP400020092 PGSC0003DMT400029511 Protein,RecName: Full=Putative ATP synthase protein YMF19; AltName: Full=Mitochondrial protein YMF19 [Helianthus annuus],P41248,Mitochondrion membrane, This is one of the chains of the nonenzymatic component (CF(0) subunit) of the mitochondrial ATPase complex, ATP synthesis,1671000,7770000,165760,,,
PGSC0003DMP400053889 PGSC0003DMT400079466 Protein,RecName: Full=ATP synthase protein MI25; AltName: Full=ORF 25 [Nicotiana tabacum],P09003,Mitochondrion membrane, This is one of the chains of the nonenzymatic component (CF(0) subunit) of the mitochondrial ATPase complex, ATP synthesis,63399,814510,0,,,
