RecName: Full=Catalase isozyme 2 [Solanum tuberosum],P55312,Peroxisome,,,,,,Endoplasmic reticulum membrane,12
RecName: Full=Fructose-bisphosphate aldolase 6; cytosolic; Short=AtFBA6; AltName: Full=Cytosolic aldolase 2; Short=cAld2 [Arabidopsis thaliana],Q9SJQ9,Cytoplasm, cytosol,,,,,Golgi apparatus membrane,3
RecName: Full=Alpha-1;4 glucan phosphorylase L-1 isozyme; chloroplastic/amyloplastic; AltName: Full=Starch phosphorylase L-1; Flags: Precursor [Solanum tuberosum],P04045,Plastid, chloroplast,,,,,Protein storage vacuole,1
RecName: Full=Elongation factor 1-alpha; Short=EF-1-alpha [Solanum lycopersicum],P17786,Cytoplasm,,,,,,Periplasm,3
RecName: Full=Alpha-1;4 glucan phosphorylase L-2 isozyme; chloroplastic/amyloplastic; AltName: Full=Starch phosphorylase L-2; Flags: Precursor [Solanum tuberosum],P53535,Plastid, chloroplast,,,,,Mitochondrion outer membrane,5
RecName: Full=17.8 kDa class I heat shock protein [Solanum lycopersicum],P30221,Cytoplasm,,,,,,Golgi apparatus,8
RecName: Full=Glycine-rich RNA-binding protein GRP1A [Sinapis alba],P49310,Nucleus,,,,,,Cytoplasmic vesicle membrane,1
RecName: Full=Proton pump-interactor 1 [Arabidopsis thaliana],O23144,Cell membrane,,,,,,Endosome membrane,2
RecName: Full=Enolase; AltName: Full=2-phospho-D-glycerate hydro-lyase; AltName: Full=2-phosphoglycerate dehydratase [Solanum lycopersicum],P26300,Cytoplasm,,,,,,Cytoplasmic vesicle,2
RecName: Full=Alpha-1;4 glucan phosphorylase L-1 isozyme; chloroplastic/amyloplastic; AltName: Full=Starch phosphorylase L-1; Flags: Precursor [Solanum tuberosum],P04045,Plastid, chloroplast,,,,,Lysosome membrane,1
RecName: Full=UTP--glucose-1-phosphate uridylyltransferase; AltName: Full=UDP-glucose pyrophosphorylase; Short=UDPGP; Short=UGPase [Solanum tuberosum],P19595,Cytoplasm,,,,,,Mitochondrion intermembrane space,1
RecName: Full=Probable histone H2B.1 [Medicago truncatula],Q1S9I9,Nucleus,,,,,,Mitochondrion membrane,4
RecName: Full=18.2 kDa class I heat shock protein [Medicago sativa],P27880,Cytoplasm,,,,,,Nucleus envelope,1
RecName: Full=Granule-bound starch synthase 1; chloroplastic/amyloplastic; AltName: Full=Granule-bound starch synthase I; Short=GBSS-I; Flags: Precursor [Solanum tuberosum],Q00775,Plastid, chloroplast,,,,,Lipid droplet,1
RecName: Full=Cysteine proteinase inhibitor 6; Short=AtCYS-6; AltName: Full=PIP-M; AltName: Full=PRLI-interacting factor M; Flags: Precursor [Arabidopsis thaliana],Q8H0X6,Secreted,,,,,,Glyoxysome,1
RecName: Full=Small ribosomal subunit protein uS13z/uS13y/uS13x; AltName: Full=40S ribosomal protein S18 [Arabidopsis thaliana],P34788,Cytoplasm,,,,,,Nucleus speckle,1
RecName: Full=Peptidyl-prolyl cis-trans isomerase; Short=PPIase; AltName: Full=Cyclophilin; AltName: Full=Cyclosporin A-binding protein; AltName: Full=Rotamase [Solanum lycopersicum],P21568,Cytoplasm,,,,,,Peroxisome membrane,1
RecName: Full=Small ribosomal subunit protein uS7; AltName: Full=40S ribosomal protein S5 [Cicer arietinum],O65731,Subcellular location information not found.,,,,,,,
RecName: Full=Malate dehydrogenase; Short=NtRed-2 [Nicotiana tabacum],Q9FSF0,Cytoplasm,,,,,,,
RecName: Full=Small ribosomal subunit protein eS6; AltName: Full=40S ribosomal protein S6 [Asparagus officinalis],Q9M3V8,Subcellular location information not found.,,,,,,,
RecName: Full=Kirola; AltName: Allergen=Act d 11 [Actinidia deliciosa],P85524,Subcellular location information not found.,,,,,,,
RecName: Full=Small ribosomal subunit protein eS26y; AltName: Full=40S ribosomal protein S26-1 [Arabidopsis thaliana],P49206,Subcellular location information not found.,,,,,,,
RecName: Full=GTP-binding nuclear protein Ran1A [Lotus japonicus],P54765,Nucleus,,,,,,,
RecName: Full=Putative F-box protein PP2-B12; AltName: Full=Protein PHLOEM PROTEIN 2-LIKE B12; Short=AtPP2-B12 [Arabidopsis thaliana],Q9FLU7,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein uL22y; AltName: Full=60S ribosomal protein L17-2 [Arabidopsis thaliana],P51413,Subcellular location information not found.,,,,,,,
RecName: Full=Putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0282179; Flags: Precursor [Dictyostelium discoideum],Q54SW1,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein uL3; AltName: Full=60S ribosomal protein L3 [Oryza sativa Japonica Group],P35684,Cytoplasm,,,,,,,
RecName: Full=Annexin D2; AltName: Full=AnnAt2 [Arabidopsis thaliana],Q9XEE2,Cytoplasm, cytosol,,,,,,
RecName: Full=Large ribosomal subunit protein eL34; AltName: Full=60S ribosomal protein L34 [Pisum sativum],P40590,Subcellular location information not found.,,,,,,,
RecName: Full=Elongation factor 1-beta 2; Short=EF-1-beta 2; AltName: Full=Elongation factor 1-beta' 2; Short=EF-1-beta' 2; AltName: Full=Elongation factor 1B-alpha 2; AltName: Full=eEF-1B alpha 2 [Arabidopsis thaliana],Q9SCX3,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein eL31; AltName: Full=60S ribosomal protein L31 [Nicotiana glutinosa],P46290,Subcellular location information not found.,,,,,,,
RecName: Full=Fructose-bisphosphate aldolase 3; chloroplastic; Short=AtFBA3; AltName: Full=Protein PIGMENT DEFECTIVE 345; Flags: Precursor [Arabidopsis thaliana],Q9ZU52,Plastid, chloroplast,,,,,,
RecName: Full=Latex serine proteinase inhibitor [Carica papaya],P80691,Secreted, extracellular space,,,,,,
RecName: Full=Small ribosomal subunit protein uS11y; AltName: Full=40S ribosomal protein S14-2 [Arabidopsis thaliana],Q9CAX6,Cytoplasm,,,,,,,
RecName: Full=Probable inactive patatin-3-Kuras 1; Flags: Precursor [Solanum tuberosum],Q3YJS9,Vacuole,,,,,,,
RecName: Full=Monodehydroascorbate reductase; Short=MDAR; AltName: Full=Ascorbate free radical reductase; Short=AFR reductase [Solanum lycopersicum],Q43497,Cytoplasm,,,,,,,
RecName: Full=Wound-induced basic protein [Phaseolus vulgaris],Q09020,Subcellular location information not found.,,,,,,,
RecName: Full=Formate dehydrogenase; mitochondrial; Short=FDH; AltName: Full=NAD-dependent formate dehydrogenase; Flags: Precursor [Solanum tuberosum],Q07511,Mitochondrion,,,,,,,
RecName: Full=ADP;ATP carrier protein 3; mitochondrial; AltName: Full=ADP/ATP translocase 3; AltName: Full=Adenine nucleotide translocator 3; Short=ANT 3; Flags: Precursor [Arabidopsis thaliana],O49447,Mitochondrion inner membrane,,,,,,,
RecName: Full=Glutathione S-transferase DHAR2; AltName: Full=Chloride intracellular channel homolog 2; Short=CLIC homolog 2; AltName: Full=Glutathione-dependent dehydroascorbate reductase 2; Short=AtDHAR2; Short=CytDHAR; Short=GSH-dependent dehydroascorbate reductase 2 [Arabidopsis thaliana],Q9FRL8,Cytoplasm, cytosol,,,,,,
RecName: Full=Pyrophosphate-energized vacuolar membrane proton pump; AltName: Full=Pyrophosphate-energized inorganic pyrophosphatase; Short=H(+)-PPase; AltName: Full=Vacuolar H(+)-pyrophosphatase [Vigna radiata var. radiata],P21616,Vacuole membrane,,,,,,,
RecName: Full=Phosphoglycerate kinase; cytosolic [Nicotiana tabacum],Q42962,Cytoplasm,,,,,,,
RecName: Full=Nucleoside diphosphate kinase 1; AltName: Full=Nucleoside diphosphate kinase I; Short=NDK I; Short=NDP kinase I; Short=NDPK I [Nicotiana tabacum],Q56E62,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein eL21x/eL21w; AltName: Full=60S ribosomal protein L21-2 [Arabidopsis thaliana],Q9FDZ9,Subcellular location information not found.,,,,,,,
RecName: Full=Cysteine protease inhibitor 1; AltName: Full=P340; AltName: Full=P34021; AltName: Full=PCPI 8.3; Flags: Precursor [Solanum tuberosum],P20347,Vacuole,,,,,,,
RecName: Full=Small ribosomal subunit protein eS19x; AltName: Full=40S ribosomal protein S19-3 [Arabidopsis thaliana],Q9FNP8,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein uL1z; AltName: Full=60S ribosomal protein L10a-1 [Arabidopsis thaliana],Q8VZB9,Subcellular location information not found.,,,,,,,
RecName: Full=Small ribosomal subunit protein uS10z/uS10x; AltName: Full=40S ribosomal protein S20-1 [Arabidopsis thaliana],P49200,Subcellular location information not found.,,,,,,,
RecName: Full=Small ribosomal subunit protein eS17w; AltName: Full=40S ribosomal protein S17-4 [Arabidopsis thaliana],Q9LZ17,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein eL42; AltName: Full=60S ribosomal protein L44 [Gossypium hirsutum],Q96499,Subcellular location information not found.,,,,,,,
RecName: Full=Small ribosomal subunit protein eS28; AltName: Full=40S ribosomal protein S28 [Zea mays],P46302,Cytoplasm,,,,,,,
RecName: Full=Large ribosomal subunit protein uL13w; AltName: Full=60S ribosomal protein L13a-4 [Arabidopsis thaliana],Q9FKC0,Subcellular location information not found.,,,,,,,
RecName: Full=Small ribosomal subunit protein uS15; AltName: Full=40S ribosomal protein S13 [Glycine max],P62302,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein eL22z; AltName: Full=60S ribosomal protein L22-2 [Arabidopsis thaliana],Q9M9W1,Subcellular location information not found.,,,,,,,
RecName: Full=Small ribosomal subunit protein eS1; AltName: Full=40S ribosomal protein S3a; AltName: Full=Protein cyc07 [Nicotiana tabacum],Q285L8,Cytoplasm,,,,,,,
RecName: Full=14-3-3 protein 7 [Solanum lycopersicum],P93212,Subcellular location information not found.,,,,,,,
RecName: Full=Small ribosomal subunit protein uS8z/uS8w; AltName: Full=40S ribosomal protein S15a-1 [Arabidopsis thaliana],P42798,Cytoplasm,,,,,,,
RecName: Full=Histone H3.2 [Oryza sativa Indica Group] >sp|P59226.2| RecName: Full=Histone H3.1 [Arabidopsis thaliana] >sp|P69246.2| RecName: Full=Histone H3.2 [Zea mays] >sp|P69248.2| RecName: Full=Histone H3.2 [Petroselinum crispum] >sp|Q2RAD9.1| RecName: Full=Histone H3.2 [Oryza sativa Japonica Group] >sp|Q6LBE3.3| RecName: Full=Histone H3.2 [Asparagus officinalis] >sp|Q6LCK1.3| RecName: Full=Histone H3.2 [Brassica napus] >sp|Q71T45.3| RecName: Full=Histone H3.2 [Euphorbia esula] >sp|Q76MV0.1| RecName: Full=Histone H3.2 [Nicotiana tabacum],A2Y533,Nucleus,,,,,,,
RecName: Full=Probable aquaporin PIP-type pTOM75; AltName: Full=Ripening-associated membrane protein; Short=RAMP [Solanum lycopersicum],Q08451,Cell membrane,,,,,,,
RecName: Full=Fructose-bisphosphate aldolase 8; cytosolic; Short=AtFBA8; AltName: Full=Cytosolic aldolase 1; Short=cAld1 [Arabidopsis thaliana],Q9LF98,Cytoplasm, cytosol,,,,,,
RecName: Full=Phospholipase A1-IIgamma; AltName: Full=DAD1-like seedling establishment-related lipase; Short=AtDSEL; Short=Phospholipase DSEL [Arabidopsis thaliana],O49523,Cytoplasm,,,,,,,
RecName: Full=Large ribosomal subunit protein eL37x; AltName: Full=60S ribosomal protein L37-3 [Arabidopsis thaliana],Q8LEM8,Subcellular location information not found.,,,,,,,
RecName: Full=14-3-3 protein 5 [Solanum lycopersicum],P93210,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein uL4z; AltName: Full=60S ribosomal protein L4-1; Short=L1 [Arabidopsis thaliana],Q9SF40,Subcellular location information not found.,,,,,,,
RecName: Full=Abscisic stress-ripening protein 2 [Solanum lycopersicum],P37219,Subcellular location information not found.,,,,,,,
RecName: Full=Perakine reductase [Rauvolfia serpentina],Q3L181,Subcellular location information not found.,,,,,,,
RecName: Full=Alcohol dehydrogenase 3 [Solanum tuberosum],P14675,Cytoplasm,,,,,,,
RecName: Full=Large ribosomal subunit protein eL6; AltName: Full=60S ribosomal protein L6; AltName: Full=YL16-like [Mesembryanthemum crystallinum],P34091,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein uL18; AltName: Full=60S ribosomal protein L5 [Cucumis sativus],Q6UNT2,Cytoplasm,,,,,,,
RecName: Full=Small ribosomal subunit protein RACK1; AltName: Full=Guanine nucleotide-binding protein subunit beta-like protein [Nicotiana plumbaginifolia],P93340,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein eL24; AltName: Full=60S ribosomal protein L24 [Cicer arietinum],O65743,Cytoplasm,,,,,,,
RecName: Full=Small ribosomal subunit protein uS17; AltName: Full=40S ribosomal protein S11 [Euphorbia esula],Q9M5M1,Subcellular location information not found.,,,,,,,
RecName: Full=Fasciclin-like arabinogalactan protein 10; Flags: Precursor [Arabidopsis thaliana],Q9LZX4,Cell membrane,,,,,,,
RecName: Full=Embryo-specific protein ATS3A; AltName: Full=Protein ARABIDOPSIS THALIANA SEED 3A; Flags: Precursor [Arabidopsis thaliana],Q681K2,Secreted,,,,,,,
RecName: Full=Heat shock cognate 70 kDa protein 2 [Solanum lycopersicum],P27322,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein uL24z; AltName: Full=60S ribosomal protein L26-1 [Arabidopsis thaliana],P51414,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein uL30w; AltName: Full=60S ribosomal protein L7-4 [Arabidopsis thaliana],Q9LHP1,Subcellular location information not found.,,,,,,,
RecName: Full=Subtilisin-like protease SBT3.17; AltName: Full=Subtilase subfamily 3 member 17; Short=AtSBT3.17; Flags: Precursor [Arabidopsis thaliana],Q9C7U8,Secreted,,,,,,,
RecName: Full=Protein disulfide-isomerase; Short=PDI; Flags: Precursor [Datisca glomerata],Q9XF61,Endoplasmic reticulum lumen,,,,,,,
RecName: Full=Small ribosomal subunit protein uS5x; AltName: Full=40S ribosomal protein S2-3; Short=AtRPS2C [Arabidopsis thaliana],P49688,Subcellular location information not found.,,,,,,,
RecName: Full=Glycine-rich RNA-binding protein 7; Short=AtGR-RBP7; AltName: Full=AtRBG7; AltName: Full=Glycine-rich protein 7; Short=AtGRP7; AltName: Full=Protein COLD; CIRCADIAN RHYTHM; AND RNA BINDING 2; Short=Protein CCR2; AltName: Full=Small RNA binding protein 1; Short=AtSRBP1 [Arabidopsis thaliana],Q03250,Cytoplasm,,,,,,,
RecName: Full=Glutathione S-transferase; AltName: Full=25 kDa auxin-binding protein; AltName: Full=GST class-phi [Hyoscyamus muticus],P46423,Subcellular location information not found.,,,,,,,
RecName: Full=Small ribosomal subunit protein eS24y; AltName: Full=40S ribosomal protein S24-2 [Arabidopsis thaliana],Q8LC83,Subcellular location information not found.,,,,,,,
RecName: Full=Thioredoxin-like protein CXXS1; Short=AtCXXS1; AltName: Full=Mono-cysteine thioredoxin 1 [Arabidopsis thaliana],Q8LDI5,Cytoplasm,,,,,,,
RecName: Full=Glyceraldehyde-3-phosphate dehydrogenase; cytosolic [Petunia x hybrida],P26520,Cytoplasm,,,,,,,
RecName: Full=Thioredoxin H-type 1; Short=Trx-H1 [Nicotiana tabacum],P29449,Cytoplasm,,,,,,,
RecName: Full=Adenosylhomocysteinase; Short=AdoHcyase; AltName: Full=Cytokinin-binding protein CBP57; AltName: Full=S-adenosyl-L-homocysteine hydrolase [Nicotiana sylvestris] >sp|P68173.1| RecName: Full=Adenosylhomocysteinase; Short=AdoHcyase; AltName: Full=Cytokinin-binding protein CBP57; AltName: Full=S-adenosyl-L-homocysteine hydrolase [Nicotiana tabacum],P68172,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein uL2; AltName: Full=60S ribosomal protein L8; AltName: Full=L2; AltName: Full=Ribosomal protein TL2 [Solanum lycopersicum],P29766,Cytoplasm,,,,,,,
RecName: Full=Transketolase; chloroplastic; Short=TK; Flags: Precursor [Solanum tuberosum],Q43848,Plastid, chloroplast thylakoid membrane,,,,,,
RecName: Full=Large ribosomal subunit protein eL14z; AltName: Full=60S ribosomal protein L14-1 [Arabidopsis thaliana],Q9SIM4,Subcellular location information not found.,,,,,,,
RecName: Full=Probable histone H2A variant 3 [Oryza sativa Japonica Group],Q84MP7,Nucleus,,,,,,,
RecName: Full=10 kDa chaperonin; mitochondrial; AltName: Full=Chaperonin 10; Short=CPN10; AltName: Full=Protein groES; Flags: Precursor [Arabidopsis thaliana],P34893,Mitochondrion,,,,,,,
RecName: Full=Aspartic proteinase oryzasin-1; Flags: Precursor [Oryza sativa Japonica Group],Q42456,Vacuole,,,,,,,
RecName: Full=Large ribosomal subunit protein uL30x; AltName: Full=60S ribosomal protein L7-3 [Arabidopsis thaliana],P60039,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein eL28z; AltName: Full=60S ribosomal protein L28-1; AltName: Full=Protein ASYMMETRIC LEAVES1/2 ENHANCER 5 [Arabidopsis thaliana],O82204,Cytoplasm,,,,,,,
RecName: Full=Calmodulin-2/4; Short=CaM-2/4 [Solanum tuberosum],Q7DMP0,Subcellular location information not found.,,,,,,,
RecName: Full=Mitochondrial phosphate carrier protein 3; mitochondrial; AltName: Full=Mitochondrial phosphate transporter 3; Short=MPT3; AltName: Full=Phosphate transporter 3;1; Flags: Precursor [Arabidopsis thaliana],Q9FMU6,Mitochondrion inner membrane,,,,,,,
RecName: Full=Luminal-binding protein 5; Short=BiP 5; AltName: Full=78 kDa glucose-regulated protein homolog 5; Short=GRP-78-5; Flags: Precursor [Nicotiana tabacum],Q03685,Endoplasmic reticulum lumen,,,,,,,
RecName: Full=Large ribosomal subunit protein uL14x/uL14z/uL14y; AltName: Full=60S ribosomal protein L23; AltName: Full=Protein EMBRYO DEFECTIVE 2171 [Arabidopsis thaliana],P49690,Subcellular location information not found.,,,,,,,
RecName: Full=PLAT domain-containing protein 1; Short=AtPLAT1; Short=PLAT domain protein 1; Flags: Precursor [Arabidopsis thaliana],O65660,Endoplasmic reticulum,,,,,,,
RecName: Full=Small ribosomal subunit protein eS8; AltName: Full=40S ribosomal protein S8 [Zea mays],Q08069,Subcellular location information not found.,,,,,,,
RecName: Full=Copper transport protein ATX1; AltName: Full=Copper chaperone ATX1 [Arabidopsis thaliana],Q94BT9,Cytoplasm, cytosol,,,,,,
RecName: Full=Ubiquitin-NEDD8-like protein RUB2; Contains: RecName: Full=Ubiquitin; Contains: RecName: Full=NEDD8-like protein RUB2; AltName: Full=OsRUB2; AltName: Full=Ubiquitin-related protein 2; Flags: Precursor [Oryza sativa Japonica Group],P0C031,Cytoplasm,,,,,,,
RecName: Full=Lactoylglutathione lyase GLX1; AltName: Full=Glyoxalase I; Short=AtGLX1; Short=GlyI [Arabidopsis thaliana],O65398,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein eL29y; AltName: Full=60S ribosomal protein L29-2 [Arabidopsis thaliana],Q84WM0,Subcellular location information not found.,,,,,,,
RecName: Full=Small ribosomal subunit protein eS4; AltName: Full=40S ribosomal protein S4 [Solanum tuberosum],P46300,Cytoplasm,,,,,,,
RecName: Full=Malate dehydrogenase; chloroplastic; AltName: Full=Chloroplastic malate dehydrogenase; Short=Chloroplastic MDH; Short=cpNAD-MDH; AltName: Full=Plastidic NAD-dependent malate dehydrogenase; Short=pNAD-MDH; Flags: Precursor [Arabidopsis thaliana],Q9SN86,Plastid, chloroplast stroma,,,,,,
RecName: Full=Patellin-2 [Arabidopsis thaliana],Q56ZI2,Membrane,,,,,,,
RecName: Full=Proteasome subunit beta type-6; AltName: Full=Proteasome delta chain; AltName: Full=Tobacco cryptogein-induced protein 7; Short=tcI 7; Flags: Precursor [Nicotiana tabacum],P93395,Cytoplasm,,,,,,,
RecName: Full=Large ribosomal subunit protein uL16; AltName: Full=60S ribosomal protein L10; AltName: Full=EQM [Solanum virginianum],P93847,Subcellular location information not found.,,,,,,,
RecName: Full=NADP-dependent malic enzyme; Short=NADP-ME [Vitis vinifera],P51615,Cytoplasm,,,,,,,
RecName: Full=Kirola; AltName: Allergen=Act d 11 [Actinidia deliciosa],P85524,Subcellular location information not found.,,,,,,,
RecName: Full=Small ribosomal subunit protein eS21; AltName: Full=40S ribosomal protein S21 [Oryza sativa Japonica Group],P35687,Subcellular location information not found.,,,,,,,
RecName: Full=5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase; AltName: Full=Cobalamin-independent methionine synthase isozyme; AltName: Full=Vitamin-B12-independent methionine synthase isozyme [Catharanthus roseus],Q42699,Cytoplasm,,,,,,,
RecName: Full=Enolase 1; chloroplastic; AltName: Full=2-phospho-D-glycerate hydro-lyase 1; AltName: Full=2-phosphoglycerate dehydratase 1; Flags: Precursor [Arabidopsis thaliana],Q9C9C4,Plastid, chloroplast,,,,,,
RecName: Full=Kirola; AltName: Allergen=Act d 11 [Actinidia deliciosa],P85524,Subcellular location information not found.,,,,,,,
RecName: Full=Peptidyl-prolyl cis-trans isomerase CYP19-4; Short=PPIase CYP19-4; AltName: Full=Cyclophilin of 19 kDa 4; AltName: Full=Cyclophilin-5; AltName: Full=Rotamase CYP19-4; Flags: Precursor [Arabidopsis thaliana],Q8LDP4,Cytoplasm,,,,,,,
RecName: Full=Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2; Short=HMG aldolase 2; AltName: Full=Oxaloacetate decarboxylase; Short=OAA decarboxylase; AltName: Full=Regulator of ribonuclease activity homolog 2; AltName: Full=RraA-like protein 2 [Arabidopsis thaliana],Q9FFE0,Subcellular location information not found.,,,,,,,
RecName: Full=Translationally-controlled tumor protein homolog; Short=TCTP; AltName: Full=p23 [Solanum tuberosum],P43349,Cytoplasm,,,,,,,
RecName: Full=Large ribosomal subunit protein eL13z; AltName: Full=60S ribosomal protein L13-1; AltName: Full=Cold-induced protein C24A [Brassica napus],P41128,Subcellular location information not found.,,,,,,,
RecName: Full=Prohibitin-2; mitochondrial; Short=Atphb2 [Arabidopsis thaliana],Q9ZNT7,Mitochondrion inner membrane,,,,,,,
RecName: Full=Malate dehydrogenase 1; mitochondrial; AltName: Full=Mitochondrial MDH1; Short=mMDH1; AltName: Full=Mitochondrial NAD-dependent malate dehydrogenase 1; Short=mNAD-MDH 1; Short=mtNAD-MDH1; Flags: Precursor [Arabidopsis thaliana],Q9ZP06,Mitochondrion matrix,,,,,,,
RecName: Full=Large ribosomal subunit protein eL6; AltName: Full=60S ribosomal protein L6; AltName: Full=YL16-like [Mesembryanthemum crystallinum],P34091,Subcellular location information not found.,,,,,,,
RecName: Full=Heat shock protein 82 [Nicotiana tabacum],P36182,Cytoplasm,,,,,,,
RecName: Full=1;4-alpha-glucan-branching enzyme; AltName: Full=Q-enzyme; AltName: Full=Starch-branching enzyme [Solanum tuberosum],P30924,Plastid, chloroplast,,,,,,
RecName: Full=Large ribosomal subunit protein uL16; AltName: Full=60S ribosomal protein L10; AltName: Full=QM protein homolog [Nicotiana tabacum],Q40592,Subcellular location information not found.,,,,,,,
RecName: Full=Cysteine proteinase inhibitor; AltName: Full=Cystatin [Vigna unguiculata],Q06445,Subcellular location information not found.,,,,,,,
NotFound,NotFound,Failed to retrieve data for accession NotFound, HTTP status code: 400,,,,,,
RecName: Full=Small ribosomal subunit protein eS25y; AltName: Full=40S ribosomal protein S25-2 [Arabidopsis thaliana],Q9SIK2,Subcellular location information not found.,,,,,,,
RecName: Full=V-type proton ATPase subunit E; Short=V-ATPase subunit E; AltName: Full=Vacuolar proton pump subunit E [Citrus unshiu],Q9MB46,Subcellular location information not found.,,,,,,,
RecName: Full=Proteasome subunit alpha type-7; AltName: Full=20S proteasome alpha subunit D; AltName: Full=20S proteasome subunit alpha-4 [Solanum lycopersicum],O24030,Cytoplasm,,,,,,,
RecName: Full=ERBB-3 BINDING PROTEIN 1; Short=StEBP1 [Solanum tuberosum],M1CZC0,Nucleus,,,,,,,
RecName: Full=14-3-3 protein 1 [Solanum lycopersicum],P93206,Subcellular location information not found.,,,,,,,
RecName: Full=Gamma-tubulin complex component 4; Short=AtGCP4; Short=GCP-4 [Arabidopsis thaliana],Q9M350,Cytoplasm, cytoskeleton,,,,,,
RecName: Full=Epoxide hydrolase 2; Short=SgEPH2; AltName: Full=24;25-dihydroxycucurbitadienol synthase EPH2 [Siraitia grosvenorii],P0DO69,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein uL10; AltName: Full=60S acidic ribosomal protein P0 [Glycine max],P50346,Subcellular location information not found.,,,,,,,
RecName: Full=Large ribosomal subunit protein eL20; AltName: Full=60S ribosomal protein L18a [Castanea sativa],Q9ATF5,Subcellular location information not found.,,,,,,,
RecName: Full=Aspartic proteinase A1; Flags: Precursor [Arabidopsis thaliana],O65390,Vacuole,,,,,,,
RecName: Full=Peroxiredoxin-2B; AltName: Full=Glutaredoxin-dependent peroxiredoxin; AltName: Full=Peroxiredoxin IIB; AltName: Full=Peroxiredoxin TPx1; AltName: Full=Thioredoxin peroxidase 2B; AltName: Full=Thioredoxin-dependent peroxidase 1 [Arabidopsis thaliana],Q9XEX2,Cytoplasm,,,,,,,
